Date,Open,High,Low,Close,Adj Close,Volume
2023-01-27,91.250000,91.500000,91.019997,91.190002,82.493301,46721
2023-01-30,91.190002,91.440002,91.059998,91.160004,82.466164,56565
2023-01-31,91.120003,91.809998,91.120003,91.720001,82.972755,60796
2023-02-01,91.699997,91.889999,90.129997,90.559998,81.923378,94582
2023-02-02,90.750000,91.320000,90.750000,91.029999,82.348557,49065
2023-02-03,91.070000,91.540001,91.070000,91.489998,82.764679,42591
2023-02-06,91.489998,91.800003,91.250000,91.449997,82.728508,48406
2023-02-07,91.400002,91.660004,91.389999,91.620003,82.882294,43552
2023-02-08,91.620003,91.769997,91.550003,91.699997,82.954659,38630
2023-02-09,91.709999,91.839996,91.510002,91.510002,82.782784,44518
2023-02-10,90.870003,91.000000,88.500000,89.220001,81.555946,73791
2023-02-13,89.320000,89.690002,88.529999,88.680000,81.062317,69098
2023-02-14,88.779999,89.709999,88.779999,89.180000,81.519363,53568
2023-02-15,89.309998,89.970001,88.699997,89.000000,81.354828,68182
2023-02-16,89.080002,89.680000,88.900002,88.900002,81.263420,65007
2023-02-17,89.199997,89.589996,89.099998,89.419998,81.738739,53573
2023-02-22,89.529999,89.980003,89.400002,89.500000,81.811882,42668
2023-02-23,89.500000,89.589996,88.989998,89.000000,81.354828,63828
2023-02-24,89.209999,89.750000,89.029999,89.129997,81.473671,57836
2023-02-27,89.220001,89.599998,88.879997,89.440002,81.757034,70282
2023-02-28,89.440002,90.980003,89.440002,89.870003,82.150093,59204
2023-03-01,89.930000,90.500000,89.669998,90.000000,82.268921,58408
2023-03-02,90.220001,90.610001,89.839996,90.099998,82.360336,50419
2023-03-03,90.199997,90.589996,90.150002,90.349998,82.588860,50817
2023-03-06,90.349998,90.809998,90.019997,90.220001,82.470024,60434
2023-03-07,90.220001,90.809998,89.050003,89.709999,82.003830,68072
2023-03-08,89.879997,89.949997,89.000000,89.089996,81.437080,65979
2023-03-09,89.300003,89.540001,88.669998,88.669998,81.053162,69464
2023-03-10,88.330002,88.330002,87.099998,87.400002,80.737091,87297
2023-03-13,87.440002,87.660004,86.070000,86.099998,79.536186,84888
2023-03-14,86.180000,86.410004,85.260002,85.449997,78.935745,77041
2023-03-15,85.519997,86.209999,85.220001,85.320000,78.815643,73000
2023-03-16,85.709999,86.900002,85.010002,85.930000,79.379158,82335
2023-03-17,85.930000,86.300003,85.320000,85.320000,78.815643,71822
2023-03-20,85.570000,86.000000,85.250000,85.260002,78.760223,60257
2023-03-21,85.339996,85.800003,85.010002,85.339996,78.834122,53630
2023-03-22,85.400002,86.209999,85.209999,85.650002,79.120499,50493
2023-03-23,85.650002,86.199997,84.910004,85.150002,78.658615,63077
2023-03-24,85.540001,85.830002,85.000000,85.279999,78.778709,64005
2023-03-27,85.070000,85.250000,83.400002,83.940002,77.540863,119956
2023-03-28,83.620003,83.839996,80.720001,81.300003,75.102127,186152
2023-03-29,81.330002,81.860001,78.419998,78.830002,72.820412,202219
2023-03-30,78.650002,78.650002,75.080002,77.690002,71.767334,245262
2023-03-31,77.830002,81.440002,77.830002,80.459999,74.326157,152018
2023-04-03,81.709999,83.400002,81.000000,81.199997,75.009735,111520
2023-04-04,81.510002,82.889999,81.339996,81.980003,75.730278,63364
2023-04-05,82.300003,83.279999,81.269997,81.550003,75.333061,75250
2023-04-06,81.720001,82.459999,80.720001,81.099998,74.917351,84230
2023-04-10,81.410004,81.959999,79.790001,80.120003,74.012077,75877
2023-04-11,80.250000,80.849998,79.330002,79.900002,73.808861,82920
2023-04-12,79.910004,80.500000,78.699997,79.279999,73.236107,113755
2023-04-13,78.949997,79.099998,77.910004,78.250000,73.125084,88447
2023-04-14,78.250000,78.870003,77.699997,78.430000,73.293289,83513
2023-04-17,78.500000,79.769997,78.250000,78.449997,73.311974,109649
2023-04-18,78.830002,79.440002,78.000000,78.300003,73.171806,82205
2023-04-19,78.440002,78.910004,78.150002,78.309998,73.181152,87167
2023-04-20,78.150002,78.980003,78.029999,78.129997,73.012939,89284
2023-04-24,78.430000,78.809998,78.000000,78.360001,73.227882,86450
2023-04-25,78.500000,78.870003,77.769997,77.769997,72.676521,95178
2023-04-26,78.260002,78.389999,76.680000,77.000000,71.956955,80707
2023-04-27,77.459999,77.980003,76.900002,77.150002,72.097130,77009
2023-04-28,77.430000,79.000000,77.269997,79.000000,73.825951,106932
2023-05-02,79.169998,81.860001,79.169998,80.910004,75.610878,110463
2023-05-03,81.320000,83.500000,81.260002,82.730003,77.311668,74832
2023-05-04,82.730003,84.940002,82.730003,84.800003,79.246101,87018
2023-05-05,84.379997,84.779999,83.870003,84.040001,78.535873,58816
2023-05-08,84.129997,84.839996,83.120003,84.650002,79.105927,75031
2023-05-09,84.650002,85.980003,84.599998,85.050003,79.479736,61359
2023-05-10,85.290001,86.190002,85.099998,85.980003,80.348824,60300
2023-05-11,84.989998,86.400002,84.330002,85.870003,81.106987,59936
2023-05-12,87.000000,87.480003,86.010002,86.309998,81.522568,59156
2023-05-15,86.400002,88.480003,86.400002,87.870003,82.996048,68411
2023-05-16,87.870003,89.860001,87.870003,89.400002,84.441177,65343
2023-05-17,89.400002,90.389999,89.400002,89.750000,84.771767,63118
2023-05-18,89.720001,89.989998,87.730003,87.949997,83.071609,70503
2023-05-19,88.180000,88.889999,87.120003,87.900002,83.024384,65495
2023-05-22,87.930000,88.269997,86.419998,86.650002,81.843719,69020
2023-05-23,86.800003,87.730003,85.500000,86.269997,81.484795,76414
2023-05-24,86.309998,87.279999,85.050003,85.250000,80.521370,72853
2023-05-25,85.519997,86.400002,84.160004,84.260002,79.586281,84440
2023-05-26,84.570000,84.989998,83.500000,84.620003,79.926315,58512
2023-05-29,84.849998,85.949997,84.680000,85.000000,80.285240,56531
2023-05-30,85.250000,85.790001,84.129997,84.900002,80.190781,67230
